n	fun_per_kb	syn_per_kb
10	0.157654106889484	0.105102737926323
20	0.315308213778969	0.157654106889484
50	0.735719165484261	0.262756844815807
100	0.998476010300068	0.472962320668453
200	1.99695202060014	0.893373272373745
500	4.20410951705292	2.0495033895633
1000	6.83167796521099	3.36328761364234
2000	10.9306847443376	6.09595879972673
3070	14.7143833096852	8.30311629617952
5000	21.2833044300804	10.7204792684849
5040	21.4409585369699	10.8255820064113
8128	28.955804298702	14.5567292027957
9197	31.8461295916759	16.2383730096169
10000	33.4752220295339	16.921540806138
10824	34.8941089915392	17.4470544957696
15000	40.8849650533396	21.0205475852646
15308	41.0951705291923	21.2833044300804
