block	pop	downsample	obs_fun	obs_syn
37	afr	10	3	2
37	afr	20	6	7
37	afr	50	15	14
37	afr	100	26	26
37	afr	200	45	37
37	afr	500	82	63
37	afr	1000	144	88
37	afr	2000	229	140
37	afr	3070	294	186
37	afr	5000	393	243
37	afr	5040	399	244
37	afr	8128	553	307
37	eas	10	3	1
37	eas	20	7	4
37	eas	50	15	7
37	eas	100	22	13
37	eas	200	38	18
37	eas	500	78	36
37	eas	1000	130	59
37	eas	2000	194	99
37	eas	3070	260	124
37	eas	5000	349	164
37	eas	5040	350	164
37	eas	8128	456	220
37	eas	9197	482	239
37	global	10	1	1
37	global	20	1	2
37	global	50	10	4
37	global	100	19	7
37	global	200	37	17
37	global	500	82	35
37	global	1000	132	70
37	global	2000	233	114
37	global	3070	321	160
37	global	5000	473	234
37	global	5040	475	236
37	global	8128	680	325
37	global	9197	736	355
37	global	10000	765	373
37	global	10824	808	393
37	global	15000	996	482
37	global	15308	1015	485
37	global	17296	1093	536
37	global	20000	1184	595
37	global	25000	1346	688
37	global	30000	1513	765
37	global	35000	1663	829
37	global	40000	1778	882
37	global	45000	1889	937
37	global	50000	1988	997
37	global	55000	2109	1038
37	global	56885	2142	1053
37	global	60000	2207	1093
37	global	65000	2309	1134
37	global	70000	2407	1193
37	global	75000	2505	1235
37	global	80000	2588	1263
37	global	85000	2678	1307
37	global	90000	2766	1339
37	global	95000	2831	1370
37	global	100000	2904	1406
37	global	110000	3042	1462
37	global	120000	3175	1523
37	global	125748	3246	1554
37	nfe	10	1	0
37	nfe	20	2	1
37	nfe	50	3	3
37	nfe	100	7	4
37	nfe	200	16	5
37	nfe	500	37	23
37	nfe	1000	76	41
37	nfe	2000	148	71
37	nfe	3070	226	109
37	nfe	5000	343	163
37	nfe	5040	346	164
37	nfe	8128	510	231
37	nfe	9197	555	260
37	nfe	10000	594	280
37	nfe	10824	623	299
37	nfe	15000	789	372
37	nfe	15308	797	376
37	nfe	17296	870	412
37	nfe	20000	943	446
37	nfe	25000	1076	505
37	nfe	30000	1201	559
37	nfe	35000	1309	610
37	nfe	40000	1432	667
37	nfe	45000	1537	716
37	nfe	50000	1617	745
37	nfe	55000	1713	791
37	nfe	56885	1741	806
37	sas	10	3	2
37	sas	20	6	3
37	sas	50	14	5
37	sas	100	19	9
37	sas	200	38	17
37	sas	500	80	39
37	sas	1000	130	64
37	sas	2000	208	116
37	sas	3070	280	158
37	sas	5000	405	204
37	sas	5040	408	206
37	sas	8128	551	277
37	sas	9197	606	309
37	sas	10000	637	322
37	sas	10824	664	332
37	sas	15000	778	400
37	sas	15308	782	405
