n	fun_per_kb	syn_per_kb
10	0.157654106889484	0.0525513689631615
20	0.36785958274213	0.210205475852646
50	0.788270534447422	0.36785958274213
100	1.15613011718955	0.683167796521099
200	1.99695202060014	0.945924641336907
500	4.0990067791266	1.89184928267381
1000	6.83167796521099	3.10053076882653
2000	10.1949655788533	5.20258552735299
3070	13.663355930422	6.51636975143203
5000	18.3404277681434	8.61842450995849
5040	18.3929791371065	8.61842450995849
8128	23.9634242472016	11.5613011718955
9197	25.3297598402438	12.5597771821956
